Eesti üldapteekide vastavus 01.04.2020 rakenduvatele apteegireformi nõuetele;;;;;;;;;;;
Seisuga 01.01.2020 (Ravimiameti inspektsiooniosakond);;;;;;;;;;;
Tegutsemiskoha kood;Apteegi nimetus;Aadress;Tegevusloa omaja;VASTAVUS NÕUETELE;Värv kaardil;Põhiapteek/haruapteek;Maakond;ASUKOHT;;;
84;Keskpuiestee Apteek;Ida-Viru maakond - Kiviõli linn Keskpuiestee 35;Osaühing APOTHEKE;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2015;Keskpuiestee Apteek HA1;Ida-Viru maakond Lüganuse vald Püssi linn Viru tn 1;Osaühing APOTHEKE;Jah;Roheline;Haruapteek;Ida-Viru maakond;Alla 4000 elanikuga linnas;;;
1433;Kiisa Apteek ;Harju maakond Saku vald Kiisa alevik Kurtna tee 21;Multi Pharma OÜ;Jah;Roheline;Põhiapteek;Harju maakond;Maal;;;
103;Kilingi-Nõmme Apteek;Pärnu maakond Saarde vald Kilingi-Nõmme linn Pärnu tn 65;Osaühing Kilingi-Nõmme Apteek;Jah;Roheline;Põhiapteek;Pärnu maakond;Alla 4000 elanikuga linnas;;;
1415;Kivila Südameapteek;Harju maakond Tallinn Lasnamäe linnaosa Kivila tn 26;Pharma Group OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
155;Kivilinna Konsumi Apteek;Tartu maakond - Tartu linn Jaama tn 173;Terve Pere Apteek OÜ;Ei;Punane;Põhiapteek;Tartu maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
80;Kiviõli Linnaapteek;Ida-Viru maakond - Kiviõli linn Soo tn 3;Kiviõli Linnaapteegi Osaühing;Jah;Roheline;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
320;Koduapteek;Harju maakond Tallinn Kesklinna linnaosa Aia tn 7;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2127;Koduapteek HA1;Harju maakond Tallinn Haabersti linnaosa Õismäe tee 105a;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2249;Koduapteek HA2;Harju maakond Kiili vald Kiili alev Nabala tee 4;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Harju maakond;Maal;;;
128;Koeru apteek;Järva maakond Järva vald Koeru alevik Paide tee 16a;Eva Närska Apteek Koerus;Jah;Roheline;Põhiapteek;Järva maakond;Maal;;;
46;Kohila Apteek;Rapla maakond Kohila vald Kohila alev Tööstuse tn 5;Kohila Apteegi osaühing;Jah;Roheline;Põhiapteek;Rapla maakond;Maal;;;
2266;Kohila Apteek HA1;Rapla maakond Järvakandi vald Järvakandi alev Vana-Asula tn 2;Kohila Apteegi osaühing;Jah;Roheline;Haruapteek;Rapla maakond;Maal;;;
123;Kohila Südameapteek;Rapla maakond Kohila vald Kohila alev Vabaduse tn 9b;Pharma Group OÜ;Ei;Punane;Põhiapteek;Rapla maakond;Maal;;;
193;Kohtla-Järve Apteek;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Järveküla tee 68;BENU Apteek Eesti OÜ;Ei;Punane;Põhiapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
2027;Kohtla-Järve Apteek HA1;Ida-Viru maakond Kohtla-Järve linn Järve linnaosa Keskallee 6;BENU Apteek Eesti OÜ;Ei;Punane;Haruapteek;Ida-Viru maakond;Suuremas linnas (vähemalt 4000 elanikku);;;
